original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"192456 839125","57, 23, 42.049637, W, 5, 27, 20.049671, 55.1787","57, 23.700827, W, 5, 27.334161, 55.1787","57.395013788, -5.4555693529, 55.1787","3429438.6985, -327533.5349, 5349777.9309","192456 839125 -0 1","NG9239"
"193300 210700","51, 45, 24.328546, W, 4, 59, 46.907127, 54.1578","51, 45.405476, W, 4, 59.781785, 54.1578","51.7567579295, -4.9963630908, 54.1578","3941252.5661, -344562.831, 4986138.1894","193300 210700 0 1","SM9310"
"194231 842124","57, 25, 21.75821, W, 5, 25, 42.980417, 55.1933","57, 25.362637, W, 5, 25.71634, 55.1933","57.4227106139, -5.4286056714, 55.1933","3427005.2831, -325673.7244, 5351439.4034","194231 842124 -0 1","NG9442"
"194535 238200","52, 0, 14.862521, W, 4, 59, 41.519843, 54.3047","52, 0.247709, W, 4, 59.691997, 54.3047","52.0041284781, -4.9948666231, 54.3047","3919690.1484, -342574.5852, 5003128.9407","194535 238200 -0 1","SM9438"
"195200 239000","52, 0, 41.60542, W, 4, 59, 8.413469, 54.2984","52, 0.693424, W, 4, 59.140224, 54.2984","52.011557061, -4.985670408, 54.2984","3919096.1301, -341888.8415, 5003637.732","195200 239000 -0 1","SM9538"
"196000 215700","51, 48, 9.515795, W, 4, 57, 36.848862, 54.1758","51, 48.158597, W, 4, 57.614148, 54.1758","51.8026432765, -4.960235795, 54.1758","3937473.087, -341730.8377, 4989296.8421","196000 215700 0 1","SM9615"
"197040 203550","51, 41, 38.123567, W, 4, 56, 17.094198, 54.0498","51, 41.635393, W, 4, 56.284903, 54.0498","51.693923213, -4.9380817217, 54.0498","3947069.0102, -341026.0379, 4981807.5428","197040 203550 0 1","SM9703"
"199040 61460","50, 25, 6.707569, W, 4, 49, 48.862242, 52.7192","50, 25.111793, W, 4, 49.814371, 52.7192","50.4185298804, -4.8302395116, 52.7192","4057664.0613, -342888.3179, 4892623.7234","199040 61460 0 1","SW9961"
"199160 201130","51, 40, 22.636293, W, 4, 54, 21.809727, 54.0042","51, 40.377272, W, 4, 54.363495, 54.0042","51.6729545258, -4.9060582576, 54.0042","3949082.7476, -338976.4539, 4980361.0186","199160 201130 0 1","SM9901"
"199500 778600","56, 51, 19.397784, W, 5, 17, 24.081298, 54.8214","56, 51.323296, W, 5, 17.401355, 54.8214","56.8553882734, -5.2900225827, 54.8214","3480626.1602, -322276.6082, 5317158.2324","199500 778600 0 1","NM9978"
"200290 848440","57, 28, 55.386195, W, 5, 19, 58.979022, 55.2545","57, 28.923103, W, 5, 19.982984, 55.2545","57.4820517208, -5.3330497284, 55.2545","3421996.998, -319440.056, 5354994.9673","200290 848440 0 1","NH0048"
"200340 731220","56, 25, 50.854557, W, 5, 14, 22.523129, 54.721","56, 25.847576, W, 5, 14.375385, 54.721","56.4307929324, -5.2395897581, 54.721","3520234.9711, -322819.1619, 5291160.8612","200340 731220 0 1","NN0031"
"201400 200400","51, 40, 1.902947, W, 4, 52, 23.847519, 53.9645","51, 40.031716, W, 4, 52.397459, 53.9645","51.6671952632, -4.8732909776, 53.9645","3949776.7868, -336760.631, 4979963.5784","201400 200400 0 1","SN0100"
"201500 220940","51, 51, 6.035227, W, 4, 53, 0.880566, 54.217","51, 51.100587, W, 4, 53.014676, 54.217","51.8516764519, -4.883577935, 54.217","3933653.3909, -336097.3375, 4992668.6781","201500 220940 0 1","SN0120"
"201611 52565","50, 20, 22.207706, W, 4, 47, 21.844121, 52.6622","50, 20.370128, W, 4, 47.364069, 52.6622","50.3395021406, -4.7894011447, 52.6622","4064655.1477, -340561.439, 4887017.7132","201611 52565 0 1","SX0152"
"201670 59335","50, 24, 1.208727, W, 4, 47, 31.708534, 52.6813","50, 24.020145, W, 4, 47.528476, 52.6813","50.4003357574, -4.7921412594, 52.6813","4059445.3236, -340320.4311, 4891333.8843","201670 59335 0 1","SX0159"
"204805 58070","50, 23, 24.077675, W, 4, 44, 50.729361, 52.6452","50, 23.401295, W, 4, 44.845489, 52.6452","50.3900215765, -4.7474248225, 52.6452","4060590.6016, -337225.2957, 4890602.4498","204805 58070 0 1","SX0458"
"205500 778300","56, 51, 18.897948, W, 5, 11, 29.627617, 54.7368","56, 51.314966, W, 5, 11.493794, 54.7368","56.8552494299, -5.1915632271, 54.7368","3481187.6802, -316296.0556, 5317149.7079","205500 778300 0 1","NN0578"
"206200 561400","54, 54, 34.60299, W, 5, 1, 28.969124, 54.9382","54, 54.576716, W, 5, 1.482819, 54.9382","54.9096119416, -5.0247136457, 54.9382","3660740.6012, -321864.4526, 5195650.5117","206200 561400 0 1","NX0661"
"207000 199400","51, 39, 36.596772, W, 4, 47, 30.707372, 53.8667","51, 39.609946, W, 4, 47.51179, 53.8667","51.6601657701, -4.7918631589, 53.8667","3950862.6695, -331198.1777, 4979478.3744","207000 199400 0 1","SS0799"
"207700 54100","50, 21, 19.121584, W, 4, 42, 16.978873, 52.6171","50, 21.318693, W, 4, 42.282981, 52.6171","50.3553115511, -4.7047163536, 52.6171","4063804.6161, -334442.3365, 4888139.8868","207700 54100 0 1","SX0754"
"207990 726750","56, 23, 37.928189, W, 5, 6, 44.844013, 54.6828","56, 23.632136, W, 5, 6.7474, 54.6828","56.3938689413, -5.1124566704, 54.6828","3524354, -315312.5625, 5288886.2995","207990 726750 0 1","NN0726"
"209680 776720","56, 50, 34.110962, W, 5, 7, 18.994933, 54.6742","56, 50.568516, W, 5, 7.316582, 54.6742","56.8428086004, -5.121943037, 54.6742","3482724.6678, -312169.3737, 5316392.0606","209680 776720 0 1","NN0976"
"210531 774186","56, 49, 13.532866, W, 5, 6, 22.065895, 54.6802","56, 49.225548, W, 5, 6.367765, 54.6802","56.820425796, -5.1061294153, 54.6802","3484888.8053, -311393.8212, 5315028.4153","210531 774186 -0 1","NN1074"
"210660 59765","50, 24, 25.790398, W, 4, 39, 57.62041, 52.6143","50, 24.42984, W, 4, 39.96034, 52.6143","50.4071639994, -4.6660056695, 52.6143","4059601.3106, -331335.206, 4891817.955","210660 59765 0 1","SX1059"
"211030 64058","50, 26, 45.058873, W, 4, 39, 46.682791, 52.6416","50, 26.750981, W, 4, 39.778047, 52.6416","50.4458496871, -4.6629674421, 52.6416","4056312.8327, -330850.2818, 4894559.4849","211030 64058 0 1","SX1164"
"211300 776700","56, 50, 35.843956, W, 5, 5, 43.483784, 54.6648","56, 50.597399, W, 5, 5.72473, 54.6648","56.8432899877, -5.0954121623, 54.6648","3482824.1392, -310552.6745, 5316421.3719","211300 776700 0 1","NN1176"
"211820 199080","51, 39, 32.134561, W, 4, 43, 19.512672, 53.7744","51, 39.535576, W, 4, 43.325211, 53.7744","51.6589262669, -4.7220868534, 53.7744","3951370.825, -326395.3688, 4979392.7523","211820 199080 0 1","SS1199"
"211900 219300","51, 50, 25.978631, W, 4, 43, 54.732522, 54.1238","51, 50.432977, W, 4, 43.912209, 54.1238","51.8405496199, -4.731870145, 54.1238","3935499.6751, -325760.9469, 4991903.7793","211900 219300 0 1","SN1119"
"212050 214710","51, 47, 57.760441, W, 4, 43, 37.935595, 54.0558","51, 47.962674, W, 4, 43.63226, 54.0558","51.7993779002, -4.7272043319, 54.0558","3939114.8696, -325737.2218, 4989072.0724","212050 214710 0 1","SN1214"
"212380 727460","56, 24, 7.208444, W, 5, 2, 31.034885, 54.5929","56, 24.120141, W, 5, 2.517248, 54.5929","56.4020023455, -5.0419541347, 54.5929","3523987.8727, -310909.3044, 5289387.4333","212380 727460 0 1","NN1227"
"212460 206090","51, 43, 19.555594, W, 4, 42, 59.807474, 53.8892","51, 43.325927, W, 4, 42.996791, 53.8892","51.7220987761, -4.7166131873, 53.8892","3945905.4806, -325564.3793, 4983750.012","212460 206090 0 1","SN1206"
"212600 207200","51, 43, 55.612811, W, 4, 42, 54.670253, 53.9097","51, 43.92688, W, 4, 42.911171, 53.9097","51.7321146696, -4.7151861813, 53.9097","3945041.6805, -325394.1862, 4984440.2957","212600 207200 0 1","SN1207"
"212940 200600","51, 40, 22.627077, W, 4, 42, 24.218614, 53.7792","51, 40.377118, W, 4, 42.403644, 53.7792","51.672951966, -4.7067273929, 53.7792","3950238.2226, -325235.6576, 4980360.6655","212940 200600 0 1","SN1200"
"215980 727210","56, 24, 4.232376, W, 4, 59, 0.714457, 54.5413","56, 24.07054, W, 4, 59.011908, 54.5413","56.40117566, -4.9835317937, 54.5413","3524379.4179, -307322.5242, 5289336.452","215980 727210 0 1","NN1527"
"216403 858519","57, 34, 45.365138, W, 5, 4, 20.381117, 55.0609","57, 34.756086, W, 5, 4.339685, 55.0609","57.5792680938, -5.0723280881, 55.0609","3414316.3046, -303057.5506, 5360807.2681","216403 858519 0 1","NH1658"
"219030 598380","55, 14, 46.736483, W, 4, 50, 54.092504, 54.9702","55, 14.778941, W, 4, 50.901542, 54.9702","55.2463156898, -4.8483590289, 54.9702","3631089.7762, -307997.6856, 5217108.5617","219030 598380 -0 1","NX1998"
"219360 668550","55, 52, 34.095169, W, 4, 53, 20.614279, 54.7927","55, 52.568253, W, 4, 53.343571, 54.7927","55.8761375469, -4.8890595221, 54.7927","3573249.6438, -305648.2498, 5256763.4512","219360 668550 -0 1","NS1968"
"219900 216500","51, 49, 4.940046, W, 4, 36, 51.904647, 53.9875","51, 49.082334, W, 4, 36.865077, 53.9875","51.8180389016, -4.6144179575, 53.9875","3938121.8185, -317851.1858, 4990355.7782","219900 216500 0 1","SN1916"
"220344 659215","55, 47, 33.853608, W, 4, 52, 1.838858, 54.7885","55, 47.564227, W, 4, 52.030648, 54.7885","55.7927371132, -4.8671774606, 54.7885","3581021.6347, -304935.4455, 5251548.6797","220344 659215 -0 1","NS2059"
"220530 671840","55, 54, 21.95095, W, 4, 52, 21.237066, 54.7732","55, 54.365849, W, 4, 52.353951, 54.7732","55.906097486, -4.8725658517, 54.7732","3570585.5292, -304385.0116, 5258634.0224","220530 671840 0 1","NS2071"
"220870 648430","55, 41, 46.141456, W, 4, 51, 6.203221, 54.7219","55, 41.769024, W, 4, 51.103387, 54.7219","55.6961504044, -4.8517231169, 54.7219","3589960.2485, -304721.281, 5245495.481","220870 648430 0 1","NS2048"
"221030 654640","55, 45, 6.972107, W, 4, 51, 11.687388, 54.7681","55, 45.116202, W, 4, 51.19479, 54.7681","55.7519366963, -4.8532464966, 54.7681","3584838.1084, -304382.5066, 5248993.4938","221030 654640 -0 1","NS2154"
"222120 781430","56, 53, 23.984426, W, 4, 55, 17.742918, 54.6446","56, 53.39974, W, 4, 55.295715, 54.6446","56.889995674, -4.921595255, 54.6446","3479410.8938, -299611.8373, 5319264.2068","222120 781430 -0 1","NN2281"
"222540 642090","55, 38, 23.526348, W, 4, 49, 15.916304, 54.6811","55, 38.392106, W, 4, 49.265272, 54.6811","55.6398684301, -4.8210878622, 54.6811","3595278.9018, -303236.6283, 5241961.3619","222540 642090 0 1","NS2242"
"222600 581600","55, 5, 49.235138, W, 4, 46, 54.339641, 55.0284","55, 5.820586, W, 4, 46.905661, 55.0284","55.0970097604, -4.7817610115, 55.0284","3645042.2136, -304914.2681, 5207615.5315","222600 581600 0 1","NX2281"
"223070 642050","55, 38, 22.929693, W, 4, 48, 45.550216, 54.6784","55, 38.382162, W, 4, 48.75917, 54.6784","55.6397026924, -4.8126528377, 54.6784","3595338.6826, -302708.6097, 5241950.9451","223070 642050 0 1","NS2342"
"223470 674320","55, 55, 45.982964, W, 4, 49, 37.99178, 54.7278","55, 55.766383, W, 4, 49.633196, 54.7278","55.9294397123, -4.8272199389, 54.7278","3568680.3797, -301377.8873, 5260090.392","223470 674320 0 1","NS2374"
"223799 642211","55, 38, 29.084635, W, 4, 48, 4.28135, 54.6755","55, 38.484744, W, 4, 48.071356, 54.6755","55.6414123987, -4.8011892639, 54.6755","3595242.5871, -301976.1063, 5242058.3742","223799 642211 0 1","NS2342"
"223885 63619","50, 26, 45.261253, W, 4, 28, 54.792477, 52.5718","50, 26.754354, W, 4, 28.913208, 52.5718","50.4459059035, -4.4818867991, 52.5718","4057333.3586, -318028.4827, 4894563.4133","223885 63619 0 1","SX2363"
"224250 691050","56, 4, 47.477625, W, 4, 49, 32.512506, 54.7141","56, 4.791294, W, 4, 49.541875, 54.7141","56.0798548957, -4.8256979183, 54.7141","3554852.4033, -300114.9984, 5269454.4232","224250 691050 0 1","NS2491"
"224280 677950","55, 57, 44.319517, W, 4, 48, 59.894922, 54.6716","55, 57.738659, W, 4, 48.998249, 54.6716","55.962310977, -4.8166374785, 54.6716","3565714.3623, -300464.135, 5262139.8265","224280 677950 0 1","NS2477"
"224760 63695","50, 26, 48.662882, W, 4, 28, 10.597417, 52.5627","50, 26.811048, W, 4, 28.176624, 52.5627","50.4468508005, -4.4696103937, 52.5627","4057320.606, -317152.8201, 4894630.3397","224760 63695 0 1","SX2463"
"224800 382200","53, 18, 27.718264, W, 4, 37, 51.629159, 54.6071","53, 18.461971, W, 4, 37.860486, 54.6071","53.3076995179, -4.6310080997, 54.6071","3806840.1933, -308364.7538, 5091122.082","224800 382200 0 1","SH2482"
"224830 59110","50, 24, 20.431808, W, 4, 27, 59.340776, 52.5468","50, 24.34053, W, 4, 27.989013, 52.5468","50.4056755023, -4.466483549, 52.5468","4060857.6693, -317206.3361, 4891712.3744","224830 59110 0 1","SX2459"
"224830 641330","55, 38, 1.962841, W, 4, 47, 3.366276, 54.6677","55, 38.032714, W, 4, 47.056105, 54.6677","55.6338785668, -4.7842684101, 54.6677","3596021.6009, -300972.0788, 5241584.935","224830 641330 0 1","NS2441"
"224900 57000","50, 23, 12.256692, W, 4, 27, 52.256748, 52.5396","50, 23.204278, W, 4, 27.870946, 52.5396","50.3867379699, -4.4645157634, 52.5396","4062486.6797, -317193.2088, 4890369.4858","224900 57000 0 1","SX2456"
"225000 675500","55, 56, 26.117069, W, 4, 48, 12.701422, 54.6908","55, 56.435284, W, 4, 48.21169, 54.6908","55.9405880748, -4.8035281728, 54.6908","3567780.0081, -299816.1058, 5260785.6411","225000 675500 0 1","NS2575"
"225102 61032","50, 25, 22.893149, W, 4, 27, 48.798723, 52.5494","50, 25.381552, W, 4, 27.813312, 52.5494","50.4230258748, -4.4635552009, 52.5494","4059390.975, -316883.0302, 4892942.2449","225102 61032 0 1","SX2561"
"225390 53920","50, 21, 33.154653, W, 4, 27, 22.317216, 52.5236","50, 21.552578, W, 4, 27.371954, 52.5236","50.3592096258, -4.4561992266, 52.5236","4064884.0631, -316786.7811, 4888416.4571","225390 53920 0 1","SX2553"
"225600 677530","55, 57, 32.482523, W, 4, 47, 42.890897, 54.6471","55, 57.541375, W, 4, 47.714848, 54.6471","55.9590229231, -4.7952474713, 54.6471","3566128.5784, -299158.2991, 5261934.8781","225600 677530 0 1","NS2577"
"226020 861473","57, 36, 34.474978, W, 4, 54, 49.846194, 54.7735","57, 36.574583, W, 4, 54.83077, 54.7735","57.6095763828, -4.913846165, 54.7735","3412301.9958, -293368.1739, 5362615.9743","226020 861473 0 1","NH2661"
"226800 675500","55, 56, 28.46378, W, 4, 46, 29.086475, 54.6571","55, 56.474396, W, 4, 46.484775, 54.6571","55.9412399388, -4.7747462431, 54.6571","3567870.2279, -298018.8248, 5260826.2612","226800 675500 0 1","NS2675"
"226940 641290","55, 38, 3.390953, W, 4, 45, 2.765435, 54.6553","55, 38.056516, W, 4, 45.046091, 54.6553","55.6342752646, -4.7507681765, 54.6553","3596160.6223, -298866.4518, 5241609.8559","226940 641290 0 1","NS2641"
"227250 781030","56, 53, 18.047042, W, 4, 50, 14.032792, 54.6527","56, 53.300784, W, 4, 50.23388, 54.6527","56.8883464006, -4.837231331, 54.6527","3480001.5728, -294501.3042, 5319163.8868","227250 781030 -0 1","NN2781"
"227260 676160","55, 56, 50.381838, W, 4, 46, 4.128283, 54.6337","55, 56.839697, W, 4, 46.068805, 54.6337","55.9473282882, -4.767813412, 54.6337","3567346.5672, -297540.4254, 5261205.8581","227260 676160 0 1","NS2776"
"228200 675900","55, 56, 43.194929, W, 4, 45, 9.411446, 54.6174","55, 56.719915, W, 4, 45.156857, 54.6174","55.9453319247, -4.7526142906, 54.6174","3567608.8903, -296609.3458, 5261081.3754","228200 675900 0 1","NS2875"
"228540 675110","55, 56, 18.109613, W, 4, 44, 48.028912, 54.6277","55, 56.301827, W, 4, 44.800482, 54.6277","55.9383637813, -4.7466746978, 54.6277","3568280.1846, -296292.6958, 5260646.8843","228540 675110 0 1","NS2875"
"228970 61260","50, 25, 34.371212, W, 4, 24, 33.326233, 52.5056","50, 25.572854, W, 4, 24.555437, 52.5056","50.4262142257, -4.4092572868, 52.5056","4059416.8641, -313014.8764, 4893168.1666","228970 61260 0 1","SX2861"
"229200 379100","53, 16, 52.681283, W, 4, 33, 48.15169, 54.5994","53, 16.878021, W, 4, 33.802528, 54.5994","53.2813003565, -4.5633754695, 54.5994","3809549.5436, -304058.3053, 5089366.0058","229200 379100 -0 1","SH2979"
"229500 675500","55, 56, 31.938622, W, 4, 43, 53.656005, 54.5961","55, 56.53231, W, 4, 43.894267, 54.5961","55.9422051727, -4.7315711125, 54.5961","3568005.0197, -295322.8311, 5260886.3982","229500 675500 0 1","NS2975"
"229600 643600","55, 39, 21.409243, W, 4, 42, 35.99267, 54.6484","55, 39.356821, W, 4, 42.599878, 54.6484","55.6559470119, -4.7099979638, 54.6484","3594387.1505, -296143.8762, 5242971.4644","229600 643600 0 1","NS2943"
"229700 682400","56, 0, 15.118344, W, 4, 43, 57.858933, 54.5458","56, 0.251972, W, 4, 43.964316, 54.5458","56.0041995399, -4.7327385924, 54.5458","3562297.7741, -294923.528, 5264748.9146","229700 682400 0 1","NS2982"
"229752 649195","55, 42, 22.37419, W, 4, 42, 39.813943, 54.6773","55, 42.372903, W, 4, 42.663566, 54.6773","55.7062150527, -4.7110594286, 54.6773","3589774.9207, -295830.8276, 5246126.896","229752 649195 0 1","NS2949"
"229860 610030","55, 21, 17.060285, W, 4, 41, 6.959776, 54.8406","55, 21.284338, W, 4, 41.115996, 54.8406","55.3547389681, -4.6852666045, 54.8406","3622060.8987, -296849.9375, 5223980.002","229860 610030 0 1","NS2910"
"229920 683300","56, 0, 44.476465, W, 4, 43, 47.225665, 54.549","56, 0.741274, W, 4, 43.787094, 54.549","56.0123545737, -4.7297849071, 54.549","3561562.6947, -294677.8089, 5265256.5586","229920 683300 0 1","NS2983"
"230100 739400","56, 30, 57.067157, W, 4, 45, 46.720183, 54.3362","56, 30.951119, W, 4, 45.77867, 54.3362","56.5158519882, -4.7629778286, 54.3362","3514929.8903, -292869.8154, 5296391.8555","230100 739400 -0 1","NN3039"
"230738 674875","55, 56, 13.321058, W, 4, 42, 40.973448, 54.5793","55, 56.222018, W, 4, 42.682891, 54.5793","55.9370336273, -4.7113815133, 54.5793","3568584.2687, -294104.7177, 5260563.8934","230738 674875 0 1","NS3074"
"231000 681300","55, 59, 41.235261, W, 4, 42, 40.409536, 54.5152","55, 59.687254, W, 4, 42.673492, 54.5152","55.9947875724, -4.7112248712, 54.5152","3563274.0985, -293657.2723, 5264162.8728","231000 681300 0 1","NS3181"
"231200 704600","56, 12, 14.257757, W, 4, 43, 21.913009, 54.557","56, 12.237629, W, 4, 43.365217, 54.557","56.2039604882, -4.7227536136, 54.557","3543949.5361, -292782.6417, 5277153.1463","231200 704600 0 1","NN3104"
"231600 638500","55, 36, 39.134833, W, 4, 40, 30.449599, 54.6222","55, 36.652247, W, 4, 40.507493, 54.6222","55.610870787, -4.6751248885, 54.6222","3598695.5114, -294293.7407, 5240138.5081","231600 638500 0 1","NS3138"
